"""sky130_fd_sc_hd__a2111o_1""","""X""",0.175791
"""sky130_fd_sc_hd__a2111o_2""","""X""",0.324107
"""sky130_fd_sc_hd__a2111o_4""","""X""",0.535593
"""sky130_fd_sc_hd__a2111oi_0""","""Y""",0.021067
"""sky130_fd_sc_hd__a2111oi_1""","""Y""",0.031138
"""sky130_fd_sc_hd__a2111oi_2""","""Y""",0.056773
"""sky130_fd_sc_hd__a2111oi_4""","""Y""",0.105296
"""sky130_fd_sc_hd__a211o_1""","""X""",0.176707
"""sky130_fd_sc_hd__a211o_2""","""X""",0.325022
"""sky130_fd_sc_hd__a211o_4""","""X""",0.559397
"""sky130_fd_sc_hd__a211oi_1""","""Y""",0.047617
"""sky130_fd_sc_hd__a211oi_2""","""Y""",0.088816
"""sky130_fd_sc_hd__a211oi_4""","""Y""",0.141917
"""sky130_fd_sc_hd__a21bo_1""","""X""",0.183115
"""sky130_fd_sc_hd__a21bo_2""","""X""",0.288401
"""sky130_fd_sc_hd__a21bo_4""","""X""",0.475169
"""sky130_fd_sc_hd__a21boi_0""","""Y""",0.048533
"""sky130_fd_sc_hd__a21boi_1""","""Y""",0.075999
"""sky130_fd_sc_hd__a21boi_2""","""Y""",0.129099
"""sky130_fd_sc_hd__a21boi_4""","""Y""",0.215159
"""sky130_fd_sc_hd__a21o_1""","""X""",0.177622
"""sky130_fd_sc_hd__a21o_2""","""X""",0.309458
"""sky130_fd_sc_hd__a21o_4""","""X""",0.568552
"""sky130_fd_sc_hd__a21oi_1""","""Y""",0.074168
"""sky130_fd_sc_hd__a21oi_2""","""Y""",0.128184
"""sky130_fd_sc_hd__a21oi_4""","""Y""",0.221568
"""sky130_fd_sc_hd__a221o_1""","""X""",0.158396
"""sky130_fd_sc_hd__a221o_2""","""X""",0.299387
"""sky130_fd_sc_hd__a221o_4""","""X""",0.537424
"""sky130_fd_sc_hd__a221oi_1""","""Y""",0.054942
"""sky130_fd_sc_hd__a221oi_2""","""Y""",0.09614
"""sky130_fd_sc_hd__a221oi_4""","""Y""",0.166636
"""sky130_fd_sc_hd__a222oi_1""","""Y""",0.065928
"""sky130_fd_sc_hd__a22o_1""","""X""",0.159312
"""sky130_fd_sc_hd__a22o_2""","""X""",0.301218
"""sky130_fd_sc_hd__a22o_4""","""X""",0.55665
"""sky130_fd_sc_hd__a22oi_1""","""Y""",0.088816
"""sky130_fd_sc_hd__a22oi_2""","""Y""",0.170298
"""sky130_fd_sc_hd__a22oi_4""","""Y""",0.293894
"""sky130_fd_sc_hd__a2bb2o_1""","""X""",0.158396
