   Internal  Switching    Leakage      Total
      Power      Power      Power      Power
--------------------------------------------
   6.61e-07   2.99e-08   8.44e-12   6.91e-07 _14877_
   6.61e-07   2.99e-08   8.44e-12   6.91e-07 _14878_
   6.61e-07   2.99e-08   8.44e-12   6.91e-07 _13636_
   6.61e-07   2.99e-08   8.44e-12   6.91e-07 _13477_
   6.62e-07   2.96e-08   8.44e-12   6.91e-07 _13389_
   6.62e-07   2.96e-08   8.44e-12   6.91e-07 _13393_
   6.62e-07   2.96e-08   8.44e-12   6.91e-07 _13465_
   6.62e-07   2.96e-08   8.44e-12   6.91e-07 _13469_
   6.61e-07   2.96e-08   8.44e-12   6.91e-07 _14950_
   6.61e-07   2.96e-08   8.44e-12   6.91e-07 _14954_
   6.61e-07   2.96e-08   8.44e-12   6.91e-07 _13403_
   6.61e-07   2.96e-08   8.44e-12   6.91e-07 _13443_
   6.61e-07   2.96e-08   8.44e-12   6.91e-07 _13451_
   6.61e-07   2.96e-08   8.44e-12   6.91e-07 _13459_
   6.61e-07   2.96e-08   8.44e-12   6.91e-07 _14248_
   6.61e-07   2.96e-08   8.44e-12   6.91e-07 _14252_
   6.61e-07   2.96e-08   8.44e-12   6.91e-07 _14256_
   6.61e-07   2.96e-08   8.44e-12   6.91e-07 _14260_
   6.61e-07   2.96e-08   8.44e-12   6.91e-07 _14266_
   6.61e-07   2.96e-08   8.44e-12   6.91e-07 _14270_
   6.61e-07   2.95e-08   8.44e-12   6.91e-07 _13598_
   6.61e-07   2.95e-08   8.44e-12   6.91e-07 _14748_
   6.61e-07   2.95e-08   8.44e-12   6.91e-07 _14876_
   6.61e-07   2.95e-08   8.44e-12   6.91e-07 _13635_
   6.62e-07   2.92e-08   8.44e-12   6.91e-07 _13397_
   6.62e-07   2.92e-08   8.44e-12   6.91e-07 _13447_
   6.62e-07   2.92e-08   8.44e-12   6.91e-07 _13455_
   6.61e-07   2.92e-08   8.44e-12   6.91e-07 _14958_
   6.61e-07   2.92e-08   8.44e-12   6.91e-07 _14966_
   6.61e-07   2.92e-08   8.44e-12   6.91e-07 _13463_
   6.61e-07   2.92e-08   8.44e-12   6.91e-07 _14264_
   6.61e-07   2.98e-08   8.44e-12   6.91e-07 _13706_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _14726_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _14896_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _14856_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _13540_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _13544_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _13552_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _13577_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _13582_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _13586_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _13590_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _13612_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _13616_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _13620_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _13485_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _13489_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _13493_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _13495_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _13501_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _14730_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _14734_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _14788_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _14794_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _14798_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _14802_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _14806_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _14810_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _14814_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _14860_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _14868_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _14884_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _14888_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _14892_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _13548_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _13475_
   6.61e-07   2.93e-08   8.44e-12   6.91e-07 _13481_
   6.61e-07   2.97e-08   8.44e-12   6.91e-07 _13702_
   6.61e-07   2.90e-08   8.44e-12   6.90e-07 _14742_
   6.61e-07   2.90e-08   8.44e-12   6.90e-07 _14880_
   6.61e-07   2.90e-08   8.44e-12   6.90e-07 _13565_
   6.61e-07   2.90e-08   8.44e-12   6.90e-07 _13606_
   6.61e-07   2.90e-08   8.44e-12   6.90e-07 _13629_
   6.61e-07   2.90e-08   8.44e-12   6.90e-07 _13633_
   6.61e-07   2.90e-08   8.44e-12   6.90e-07 _13471_
   6.61e-07   2.90e-08   8.44e-12   6.90e-07 _14720_
   6.61e-07   2.90e-08   8.44e-12   6.90e-07 _14738_
   6.61e-07   2.90e-08   8.44e-12   6.90e-07 _14746_
   6.61e-07   2.90e-08   8.44e-12   6.90e-07 _14908_
   6.61e-07   2.90e-08   8.44e-12   6.90e-07 _14784_
   6.61e-07   2.90e-08   8.44e-12   6.90e-07 _14848_
   6.61e-07   2.90e-08   8.44e-12   6.90e-07 _13569_
   6.61e-07   2.90e-08   8.44e-12   6.90e-07 _13625_
   6.61e-07   2.90e-08   8.44e-12   6.90e-07 _13499_
   6.61e-07   2.90e-08   8.44e-12   6.90e-07 _13535_
   6.61e-07   2.94e-08   8.44e-12   6.90e-07 _13650_
   6.61e-07   2.92e-08   8.44e-12   6.90e-07 _13672_
   6.61e-07   2.89e-08   8.44e-12   6.90e-07 _13659_
   6.61e-07   2.88e-08   8.44e-12   6.90e-07 _13656_
   6.61e-07   2.87e-08   8.44e-12   6.89e-07 _13677_
   6.61e-07   2.78e-08   8.44e-12   6.89e-07 _13609_
   6.61e-07   2.78e-08   8.44e-12   6.89e-07 _14723_
   6.62e-07   2.75e-08   8.44e-12   6.89e-07 _13497_
   6.61e-07   2.81e-08   8.44e-12   6.89e-07 _13643_
   6.61e-07   2.75e-08   8.44e-12   6.89e-07 _13561_
   6.61e-07   2.75e-08   8.44e-12   6.89e-07 _13627_
   6.61e-07   2.75e-08   8.44e-12   6.89e-07 _13631_
   6.61e-07   2.80e-08   8.44e-12   6.89e-07 _14711_
   6.61e-07   2.80e-08   8.44e-12   6.89e-07 _14717_
   6.61e-07   2.80e-08   8.44e-12   6.89e-07 _14718_
   6.61e-07   2.80e-08   8.44e-12   6.89e-07 _14295_
   6.61e-07   2.80e-08   8.44e-12   6.89e-07 _14309_
   6.61e-07   2.75e-08   8.44e-12   6.89e-07 _14740_
   6.61e-07   2.75e-08   8.44e-12   6.89e-07 _14744_
   6.61e-07   2.75e-08   8.44e-12   6.89e-07 _14904_
   6.62e-07   2.72e-08   8.44e-12   6.89e-07 _13375_
   6.62e-07   2.72e-08   8.44e-12   6.89e-07 _13383_
   6.62e-07   2.72e-08   8.44e-12   6.89e-07 _13391_
   6.62e-07   2.72e-08   8.44e-12   6.89e-07 _13399_
   6.62e-07   2.72e-08   8.44e-12   6.89e-07 _13401_
   6.62e-07   2.72e-08   8.44e-12   6.89e-07 _13405_
   6.62e-07   2.72e-08   8.44e-12   6.89e-07 _13439_
   6.62e-07   2.72e-08   8.44e-12   6.89e-07 _13441_
   6.62e-07   2.72e-08   8.44e-12   6.89e-07 _13449_
   6.62e-07   2.72e-08   8.44e-12   6.89e-07 _13457_
   6.62e-07   2.72e-08   8.44e-12   6.89e-07 _13461_
   6.61e-07   2.79e-08   8.44e-12   6.89e-07 _14306_
   6.61e-07   2.72e-08   8.44e-12   6.89e-07 _14944_
   6.61e-07   2.72e-08   8.44e-12   6.89e-07 _14948_
   6.61e-07   2.72e-08   8.44e-12   6.89e-07 _14952_
   6.61e-07   2.72e-08   8.44e-12   6.89e-07 _14956_
   6.61e-07   2.72e-08   8.44e-12   6.89e-07 _14960_
   6.61e-07   2.72e-08   8.44e-12   6.89e-07 _14964_
   6.61e-07   2.72e-08   8.44e-12   6.89e-07 _14968_
   6.61e-07   2.72e-08   8.44e-12   6.89e-07 _13338_
   6.61e-07   2.72e-08   8.44e-12   6.89e-07 _13340_
   6.61e-07   2.72e-08   8.44e-12   6.89e-07 _13379_
   6.61e-07   2.72e-08   8.44e-12   6.89e-07 _13381_
   6.61e-07   2.72e-08   8.44e-12   6.89e-07 _13387_
   6.61e-07   2.72e-08   8.44e-12   6.89e-07 _13395_
   6.61e-07   2.72e-08   8.44e-12   6.89e-07 _13445_
   6.61e-07   2.72e-08   8.44e-12   6.89e-07 _13453_
   6.61e-07   2.72e-08   8.44e-12   6.89e-07 _14240_
   6.61e-07   2.72e-08   8.44e-12   6.89e-07 _14242_
   6.61e-07   2.72e-08   8.44e-12   6.89e-07 _14246_
   6.61e-07   2.72e-08   8.44e-12   6.89e-07 _14250_
   6.61e-07   2.72e-08   8.44e-12   6.89e-07 _14254_
   6.61e-07   2.72e-08   8.44e-12   6.89e-07 _14258_
   6.61e-07   2.72e-08   8.44e-12   6.89e-07 _14262_
   6.61e-07   2.79e-08   8.44e-12   6.88e-07 _14667_
   6.61e-07   2.79e-08   8.44e-12   6.88e-07 _14646_
   6.61e-07   2.79e-08   8.44e-12   6.88e-07 _14652_
   6.61e-07   2.79e-08   8.44e-12   6.88e-07 _14343_
   6.61e-07   2.79e-08   8.44e-12   6.88e-07 _14280_
   6.61e-07   2.78e-08   8.44e-12   6.88e-07 _14657_
   6.61e-07   2.68e-08   8.44e-12   6.88e-07 _13467_
   6.61e-07   2.68e-08   8.44e-12   6.88e-07 _14268_
   6.61e-07   2.73e-08   8.44e-12   6.88e-07 _14638_
   6.61e-07   2.73e-08   8.44e-12   6.88e-07 _14333_
   6.61e-07   2.72e-08   8.44e-12   6.88e-07 _14650_
   6.61e-07   2.72e-08   8.44e-12   6.88e-07 _14284_
   6.61e-07   2.71e-08   8.44e-12   6.88e-07 _14669_
   6.61e-07   2.71e-08   8.44e-12   6.88e-07 _14640_
   6.61e-07   2.71e-08   8.44e-12   6.88e-07 _14642_
   6.61e-07   2.71e-08   8.44e-12   6.88e-07 _14649_
   6.61e-07   2.71e-08   8.44e-12   6.88e-07 _14661_
   6.61e-07   2.71e-08   8.44e-12   6.88e-07 _14663_
   6.61e-07   2.71e-08   8.44e-12   6.88e-07 _14334_
   6.61e-07   2.71e-08   8.44e-12   6.88e-07 _14337_
   6.61e-07   2.71e-08   8.44e-12   6.88e-07 _14339_
   6.61e-07   2.71e-08   8.44e-12   6.88e-07 _14345_
   6.61e-07   2.71e-08   8.44e-12   6.88e-07 _14273_
   6.61e-07   2.71e-08   8.44e-12   6.88e-07 _14275_
   6.61e-07   2.71e-08   8.44e-12   6.88e-07 _14285_
   6.61e-07   2.64e-08   8.44e-12   6.87e-07 _14329_
   6.61e-07   2.64e-08   8.44e-12   6.87e-07 _14293_
   6.61e-07   2.64e-08   8.44e-12   6.87e-07 _14307_
   6.61e-07   2.64e-08   8.44e-12   6.87e-07 _13687_
   6.61e-07   2.63e-08   8.44e-12   6.87e-07 _13690_
   6.61e-07   2.62e-08   8.44e-12   6.87e-07 _13686_
   6.61e-07   2.62e-08   8.44e-12   6.87e-07 _13663_
   6.61e-07   2.61e-08   8.44e-12   6.87e-07 _13646_
   6.61e-07   2.61e-08   8.44e-12   6.87e-07 _13683_
   6.61e-07   2.56e-08   8.44e-12   6.86e-07 _13666_
   6.61e-07   2.56e-08   8.44e-12   6.86e-07 _13693_
   6.61e-07   2.50e-08   8.44e-12   6.86e-07 _13694_
   6.61e-07   2.50e-08   8.44e-12   6.86e-07 _13605_
   6.62e-07   2.40e-08   8.44e-12   6.86e-07 _13385_
   6.61e-07   2.40e-08   8.44e-12   6.86e-07 _14962_
