   Internal  Switching    Leakage      Total
      Power      Power      Power      Power
--------------------------------------------
   9.68e-07   6.45e-07   8.44e-12   1.61e-06 _16675_
   9.69e-07   6.09e-07   8.44e-12   1.58e-06 _16648_
   9.69e-07   5.59e-07   8.44e-12   1.53e-06 _16695_
   9.69e-07   5.55e-07   8.44e-12   1.52e-06 _16643_
   9.68e-07   5.33e-07   8.44e-12   1.50e-06 _16676_
   9.68e-07   5.28e-07   8.44e-12   1.50e-06 _16657_
   9.68e-07   5.26e-07   8.44e-12   1.49e-06 _16673_
   9.68e-07   5.23e-07   8.44e-12   1.49e-06 _16683_
   9.70e-07   5.17e-07   8.44e-12   1.49e-06 _16776_
   9.68e-07   5.16e-07   8.44e-12   1.48e-06 _16703_
   9.68e-07   5.15e-07   8.44e-12   1.48e-06 _16661_
   9.68e-07   5.12e-07   8.44e-12   1.48e-06 _16687_
   9.68e-07   5.12e-07   8.44e-12   1.48e-06 _16699_
   9.68e-07   5.05e-07   8.44e-12   1.47e-06 _16665_
   9.68e-07   5.05e-07   8.44e-12   1.47e-06 _16669_
   9.68e-07   5.04e-07   8.44e-12   1.47e-06 _16698_
   9.68e-07   5.00e-07   8.44e-12   1.47e-06 _16692_
   9.68e-07   4.93e-07   8.44e-12   1.46e-06 _16660_
   9.69e-07   4.89e-07   8.44e-12   1.46e-06 _16649_
   9.69e-07   4.88e-07   8.44e-12   1.46e-06 _16654_
   9.68e-07   4.60e-07   8.44e-12   1.43e-06 _16679_
   9.68e-07   4.60e-07   8.44e-12   1.43e-06 _16677_
   9.68e-07   4.57e-07   8.44e-12   1.43e-06 _16644_
   9.68e-07   4.55e-07   8.44e-12   1.42e-06 _16653_
   9.68e-07   4.54e-07   8.44e-12   1.42e-06 _16651_
   9.70e-07   4.47e-07   8.44e-12   1.42e-06 _16711_
   9.70e-07   4.47e-07   8.44e-12   1.42e-06 _15295_
   9.68e-07   4.49e-07   8.44e-12   1.42e-06 _16686_
   9.68e-07   4.49e-07   8.44e-12   1.42e-06 _16689_
   9.68e-07   4.45e-07   8.44e-12   1.41e-06 _16680_
   9.68e-07   4.42e-07   8.44e-12   1.41e-06 _16701_
   9.68e-07   4.41e-07   8.44e-12   1.41e-06 _16655_
   9.68e-07   4.39e-07   8.44e-12   1.41e-06 _16646_
   9.68e-07   4.39e-07   8.44e-12   1.41e-06 _16667_
   9.68e-07   4.38e-07   8.44e-12   1.41e-06 _16681_
   9.68e-07   4.38e-07   8.44e-12   1.41e-06 _16690_
   9.68e-07   4.38e-07   8.44e-12   1.41e-06 _16693_
   9.68e-07   4.34e-07   8.44e-12   1.40e-06 _16684_
   9.68e-07   4.34e-07   8.44e-12   1.40e-06 _16696_
   9.68e-07   4.32e-07   8.44e-12   1.40e-06 _16663_
   9.68e-07   4.32e-07   8.44e-12   1.40e-06 _16671_
   9.76e-07   4.22e-07   8.44e-12   1.40e-06 _15832_
   9.76e-07   4.22e-07   8.44e-12   1.40e-06 _15768_
   9.76e-07   4.22e-07   8.44e-12   1.40e-06 _15640_
   9.76e-07   4.22e-07   8.44e-12   1.40e-06 _15704_
   9.76e-07   4.21e-07   8.44e-12   1.40e-06 _15937_
   9.76e-07   4.14e-07   8.44e-12   1.39e-06 _16710_
   9.68e-07   4.11e-07   8.44e-12   1.38e-06 _16650_
   9.68e-07   4.10e-07   8.44e-12   1.38e-06 _16704_
   9.74e-07   4.04e-07   8.44e-12   1.38e-06 _16730_
   9.70e-07   4.06e-07   8.44e-12   1.38e-06 _16867_
   9.70e-07   4.05e-07   8.44e-12   1.38e-06 _16722_
   9.70e-07   4.05e-07   8.44e-12   1.38e-06 _16777_
   9.74e-07   4.01e-07   8.44e-12   1.37e-06 _16726_
   9.74e-07   4.01e-07   8.44e-12   1.37e-06 _16736_
   9.74e-07   4.00e-07   8.44e-12   1.37e-06 _16842_
   9.74e-07   3.98e-07   8.44e-12   1.37e-06 _16794_
   9.74e-07   3.98e-07   8.44e-12   1.37e-06 _15312_
   9.68e-07   4.00e-07   8.44e-12   1.37e-06 _16691_
