   Internal  Switching    Leakage      Total
      Power      Power      Power      Power
--------------------------------------------
   6.89e-07   6.17e-08   8.44e-12   7.51e-07 _16021_
   6.89e-07   6.17e-08   8.44e-12   7.51e-07 _16025_
   6.90e-07   6.11e-08   8.44e-12   7.51e-07 _16083_
   6.89e-07   6.17e-08   8.44e-12   7.51e-07 _16001_
   6.90e-07   6.11e-08   8.44e-12   7.51e-07 _16091_
   6.97e-07   5.38e-08   8.44e-12   7.51e-07 _15747_
   6.89e-07   6.17e-08   8.44e-12   7.51e-07 _16087_
   6.69e-07   8.18e-08   8.44e-12   7.51e-07 _16675_
   6.97e-07   5.38e-08   8.44e-12   7.51e-07 _15683_
   6.89e-07   6.11e-08   8.44e-12   7.51e-07 _15997_
   6.89e-07   6.11e-08   8.44e-12   7.51e-07 _16079_
   6.89e-07   6.17e-08   8.44e-12   7.51e-07 _16017_
   6.89e-07   6.17e-08   8.44e-12   7.51e-07 _16069_
   6.89e-07   6.11e-08   8.44e-12   7.51e-07 _16061_
   6.89e-07   6.17e-08   8.44e-12   7.50e-07 _16005_
   6.89e-07   6.17e-08   8.44e-12   7.50e-07 _16009_
   6.89e-07   6.17e-08   8.44e-12   7.50e-07 _16073_
   6.95e-07   5.38e-08   8.44e-12   7.49e-07 _15627_
   6.95e-07   5.38e-08   8.44e-12   7.49e-07 _15819_
   6.95e-07   5.38e-08   8.44e-12   7.49e-07 _15691_
   6.95e-07   5.38e-08   8.44e-12   7.49e-07 _15827_
   6.95e-07   5.38e-08   8.44e-12   7.49e-07 _15763_
   6.95e-07   5.38e-08   8.44e-12   7.49e-07 _15635_
   6.95e-07   5.38e-08   8.44e-12   7.49e-07 _15815_
   6.95e-07   5.38e-08   8.44e-12   7.49e-07 _15699_
   6.82e-07   6.71e-08   8.44e-12   7.49e-07 _15295_
   6.95e-07   5.38e-08   8.44e-12   7.49e-07 _15643_
   6.96e-07   5.25e-08   8.44e-12   7.49e-07 _15772_
   6.96e-07   5.25e-08   8.44e-12   7.49e-07 _15644_
   6.96e-07   5.25e-08   8.44e-12   7.49e-07 _15836_
   6.96e-07   5.25e-08   8.44e-12   7.48e-07 _15708_
   6.95e-07   5.38e-08   8.44e-12   7.48e-07 _15825_
   6.95e-07   5.38e-08   8.44e-12   7.48e-07 _15633_
   6.81e-07   6.71e-08   8.44e-12   7.48e-07 _16711_
   6.95e-07   5.38e-08   8.44e-12   7.48e-07 _15697_
   6.90e-07   5.85e-08   8.44e-12   7.48e-07 _16085_
   6.94e-07   5.38e-08   8.44e-12   7.48e-07 _15621_
   6.94e-07   5.38e-08   8.44e-12   7.48e-07 _15813_
   6.94e-07   5.38e-08   8.44e-12   7.48e-07 _15685_
   6.97e-07   5.05e-08   8.44e-12   7.48e-07 _15619_
   6.97e-07   5.05e-08   8.44e-12   7.48e-07 _15811_
   6.89e-07   5.85e-08   8.44e-12   7.47e-07 _16081_
   6.96e-07   5.05e-08   8.44e-12   7.47e-07 _15748_
   6.96e-07   5.05e-08   8.44e-12   7.47e-07 _15620_
   6.75e-07   7.13e-08   8.44e-12   7.47e-07 _16654_
   6.96e-07   5.05e-08   8.44e-12   7.47e-07 _15812_
   6.94e-07   5.23e-08   8.44e-12   7.47e-07 _15514_
   6.96e-07   5.05e-08   8.44e-12   7.47e-07 _15684_
